名称,名称かな,所在地,TEL,FAX,URL,備考,郵便番号,施設ID,経度,緯度,分類
白島小学校,,広島市中区西白島町26番3号,082-221-3012,082-211-3519,http://www.hakushima-e.edu.city.hiroshima.jp/,,,A025000001,132.461490326956,34.4044337637814,市立小学校
基町小学校,,広島市中区基町20番2号,082-228-0193,082-228-4589,http://www.motomachi-e.edu.city.hiroshima.jp/index.htm,,,A025000002,132.456618796004,34.4030362581313,市立小学校
幟町小学校,,広島市中区幟町3番10号,082-221-3013,082-211-3509,http://www.noborichou-e.edu.city.hiroshima.jp/,,,A025000003,132.466524973064,34.3965277971639,市立小学校
袋町小学校,,広島市中区袋町6番36号,082-247-9241,082-240-1384,http://www.fukuromachi-e.edu.city.hiroshima.jp/,,,A025000004,132.458782831031,34.3918612711572,市立小学校
竹屋小学校,,広島市中区鶴見町8番49号,082-241-9138,082-248-3138,http://www.takeya-e.edu.city.hiroshima.jp/,,,A025000005,132.467145035953,34.3853397648501,市立小学校
千田小学校,,広島市中区東千田町二丁目1番34号,082-241-8623,082-248-2923,http://www.senda-e.edu.city.hiroshima.jp/,,,A025000006,132.459463629068,34.3798139617061,市立小学校
中島小学校,,広島市中区加古町10番8号,082-241-1757,082-248-3157,http://www.nakajima-e.edu.city.hiroshima.jp/,,,A025000007,132.448123049026,34.3868095454095,市立小学校
吉島東小学校,,広島市中区吉島東三丁目2番7号,082-249-1045,082-240-1382,http://www.yoshijimahigashi-e.edu.city.hiroshima.jp/,,,A025000008,132.452770911039,34.368391456559,市立小学校
吉島小学校,,広島市中区吉島西三丁目4番60号,082-241-4809,082-243-0283,http://www.yoshijima-e.edu.city.hiroshima.jp/,,,A025000009,132.444509722032,34.3721756275231,市立小学校
広瀬小学校,,広島市中区広瀬町2番8号,082-231-0680,082-234-0686,http://www.hirose-e.edu.city.hiroshima.jp/,,,A025000010,132.446306146043,34.4009931064715,市立小学校
本川小学校,,広島市中区本川町一丁目5番39号,082-232-3431,082-234-0910,http://www.honkawa-e.edu.city.hiroshima.jp/,,,A025000011,132.450530230117,34.3959112638576,市立小学校
神崎小学校,,広島市中区舟入中町1番36号,082-293-1925,082-294-1896,http://www.kanzaki-e.edu.city.hiroshima.jp/,,,A025000012,132.445467044034,34.3873465516029,市立小学校
舟入小学校,,広島市中区舟入南二丁目9番48号,082-232-1255,082-232-7422,http://www.funairi-e.edu.city.hiroshima.jp/,,,A025000013,132.437884425959,34.3797040066163,市立小学校
江波小学校,,広島市中区江波南二丁目2番53号,082-232-6349,082-232-3728,http://www.eba-e.edu.city.hiroshima.jp/,,,A025000014,132.43289643795,34.3645471204811,市立小学校
福木小学校,,広島市東区馬木九丁目1番2号,082-899-2511,082-899-7017,http://www.fukugi-e.edu.city.hiroshima.jp/,,,A025000015,132.53568685405,34.4459225920488,市立小学校
上温品小学校,,広島市東区上温品三丁目4番1号,082-289-2474,082-280-5469,http://www.kaminukushina-e.edu.city.hiroshima.jp/,,,A025000016,132.517031532076,34.4279283108738,市立小学校
温品小学校,,広島市東区温品七丁目8番8号,082-289-0255,082-280-5433,http://www.nukushina-e.edu.city.hiroshima.jp/,,,A025000017,132.510522119022,34.4160772547219,市立小学校
戸坂小学校,,広島市東区戸坂出江二丁目1番1号,082-229-0250,082-229-4961,http://www.hesaka-e.edu.city.hiroshima.jp/,,,A025000018,132.485650304013,34.435189356077,市立小学校
戸坂城山小学校,,広島市東区戸坂城山町1番2号,082-229-7000,082-229-8275,http://www.hesakashiroyama-e.edu.city.hiroshima.jp/,,,A025000019,132.488829588014,34.4298026178496,市立小学校
東浄小学校,,広島市東区中山新町二丁目8番1号,082-280-1745,082-280-4065,http://www.toujou-e.edu.city.hiroshima.jp/,,,A025000020,132.500281937071,34.4211069179131,市立小学校
中山小学校,,広島市東区中山東一丁目2番1号,082-289-2381,082-280-5149,http://www.nakayama-e.edu.city.hiroshima.jp/,,,A025000021,132.500244467996,34.4096584918806,市立小学校
牛田新町小学校,,広島市東区牛田新町一丁目15番1号,082-221-6299,082-211-3692,http://www.ushitashinmachi-e.edu.city.hiroshima.jp/,,,A025000022,132.470322409061,34.4192934387295,市立小学校
早稲田小学校,,広島市東区牛田早稲田四丁目9番1号,082-228-1140,082-228-4980,http://www.waseda-e.edu.city.hiroshima.jp/,,,A025000023,132.480641668058,34.4189475158091,市立小学校
牛田小学校,,広島市東区牛田旭一丁目14番45号,082-228-2592,082-228-9825,http://www.ushita-e.edu.city.hiroshima.jp/,,,A025000024,132.470809862938,34.4128998110274,市立小学校
尾長小学校,,広島市東区山根町21番10号,082-261-4242,082-263-5274,http://www.onaga-e.edu.city.hiroshima.jp/,,,A025000025,132.485417549914,34.3998654402891,市立小学校
矢賀小学校,,広島市東区矢賀二丁目10番67号,082-281-5347,082-288-5224,http://www.yaga-e.edu.city.hiroshima.jp/,,,A025000026,132.496175197981,34.3989727136735,市立小学校
荒神町小学校,,広島市南区西蟹屋三丁目7番27号,082-261-5760,082-263-6214,http://www.koujinmachi-e.edu.city.hiroshima.jp/,,,A025000027,132.47970115201,34.3927610602658,市立小学校
大州小学校,,広島市南区大州五丁目10番12号,082-281-8036,082-288-7114,http://www.ohzu-e.edu.city.hiroshima.jp/,,,A025000028,132.497027575105,34.3848889448722,市立小学校
青崎小学校,,広島市南区青崎一丁目15番51号,082-281-0370,082-288-7116,http://www.aosaki-e.edu.city.hiroshima.jp/,,,A025000029,132.506447860051,34.3725813959984,市立小学校
段原小学校,,広島市南区的場町二丁目4番19号,082-261-4245,082-261-9829,http://www.danbara-e.edu.city.hiroshima.jp/,,,A025000030,132.47358411103,34.3916510521475,市立小学校
比治山小学校,,広島市南区上東雲町28番28号,082-281-9474,082-288-7123,http://www.hijiyama-e.edu.city.hiroshima.jp/,,,A025000031,132.485088470016,34.3848301527541,市立小学校
皆実小学校,,広島市南区皆実町一丁目15番32号,082-251-2358,082-252-2338,http://www.minami-e.edu.city.hiroshima.jp/,,,A025000032,132.468148960106,34.3786684058782,市立小学校
翠町小学校,,広島市南区翠四丁目10番1号,082-253-0970,082-252-1480,http://midori-es.sakura.ne.jp/hp/htdocs/index.php,,,A025000033,132.474214432916,34.3683245682561,市立小学校
大河小学校,,広島市南区旭一丁目8番1号,082-253-4116,082-254-9385,http://www.ohkou-e.edu.city.hiroshima.jp/,,,A025000034,132.478426074065,34.3750350739844,市立小学校
黄金山小学校,,広島市南区北大河町35番1号,082-285-6322,082-288-7119,http://www.ougonzan-e.edu.city.hiroshima.jp/,,,A025000035,132.48211621805,34.3717640082599,市立小学校
仁保小学校,,広島市南区仁保新町二丁目8番30号,082-281-1314,082-581-2614,http://www.niho-e.edu.city.hiroshima.jp/,,,A025000036,132.494648609076,34.3754183464057,市立小学校
楠那小学校,,広島市南区楠那町5番7号,082-251-1618,082-252-2318,http://www.kusuna-e.edu.city.hiroshima.jp/,,,A025000037,132.48608760195,34.3627774088653,市立小学校
宇品東小学校,,広島市南区宇品東七丁目11番8号,082-253-5226,082-252-2026,http://www.ujinahigashi-e.edu.city.hiroshima.jp/,,,A025000038,132.468249707994,34.3578958895493,市立小学校
宇品小学校,,広島市南区宇品御幸四丁目5番11号,082-251-8304,082-252-2324,http://www.ujina-e.edu.city.hiroshima.jp/,,,A025000039,132.461175460912,34.3608294820366,市立小学校
元宇品小学校,,広島市南区元宇品町7番10号,082-251-4877,082-252-2633,http://www.motoujina-e.edu.city.hiroshima.jp/,,,A025000040,132.460308112028,34.3482450929911,市立小学校
似島小学校,,広島市南区似島町大黄2410,082-259-2411,082-259-2184,http://www.ninoshima-e.edu.city.hiroshima.jp/,,,A025000041,132.437649189046,34.3049235908849,市立小学校
似島学園小学校,,広島市南区似島町長谷1487,082-259-2311,082-259-1858,http://www.ninoshimagakuen-j.edu.city.hiroshima.jp/,,,A025000042,132.447008437137,34.3152264424519,市立小学校
向洋新町小学校,,広島市南区向洋新町一丁目6番2号,082-288-2600,082-288-2605,http://www.mukainadashinmachi-e.edu.city.hiroshima.jp/,,,A025000043,132.509288693971,34.3667140231976,市立小学校
大芝小学校,,広島市西区大芝一丁目25番18号,082-237-0258,082-237-1591,http://www.ohshiba-e.edu.city.hiroshima.jp/,,,A025000044,132.457059709035,34.4171645246856,市立小学校
三篠小学校,,広島市西区三篠町一丁目9番25号,082-237-2267,082-237-7197,http://www.misasa-e.edu.city.hiroshima.jp/,,,A025000045,132.450669457004,34.4124383585166,市立小学校
天満小学校,,広島市西区天満町1番27号,082-232-6269,082-234-7497,http://www.tenma-e.edu.city.hiroshima.jp/,,,A025000046,132.441379417006,34.3974940446879,市立小学校
観音小学校,,広島市西区観音本町二丁目1番26号,082-232-2361,082-232-3563,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e0934,,,A025000047,132.434831901975,34.3900826130046,市立小学校
南観音小学校,,広島市西区南観音六丁目5番45号,082-232-0494,082-234-0494,http://www.minamikanon-e.edu.city.hiroshima.jp/,,,A025000048,132.426713430937,34.3823727959474,市立小学校
己斐小学校,,広島市西区己斐上二丁目1番1号,082-271-4208,082-271-9248,http://www.koi-e.edu.city.hiroshima.jp/index.htm,,,A025000049,132.422131789022,34.4002332155442,市立小学校
己斐東小学校,,広島市西区己斐中三丁目127,082-272-8611,082-272-9646,http://www.koihigashi-e.edu.city.hiroshima.jp/,,,A025000050,132.425259536023,34.4066106280101,市立小学校
山田小学校,,広島市西区山田新町二丁目21番1号,082-272-5726,082-272-5664,http://www.yamata-e.edu.city.hiroshima.jp/,,,A025000051,132.386947108992,34.3980963294942,市立小学校
